#Release 14.7 - par P.20131013 (nt64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Sat May 08 17:52:14 2021

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       LongDivisionCircuit_map.ncd
#OUTPUT FILE:      LongDivisionCircuit_pad.csv
#PART TYPE:        xc3s1500
#SPEED GRADE:      -5
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
R8,REMAINDER<10>,IOB,IO_L30N_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R9,REMAINDER<16>,IOB,IO/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R10,REMAINDER<20>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R11,REMAINDER<24>,IOB,IO_L29N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
R12,DIVISOR<8>,IOB,IO_L27P_4/D1,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
R13,DIVISOR<14>,IOB,IO_L25N_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
R14,DIVISOR<6>,IOB,IO_L06P_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
R15,,,DONE,,,,,,,,,,,,
R16,DIVISOR<15>,IOB,IO_L17P_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R17,DIVISOR<18>,IOB,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R18,REMAINDER<27>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T1,QUOTIENT<25>,IOB,IO_L16P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T2,DIVIDEND<28>,IOB,IO_L01P_6/VRN_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
T3,QUOTIENT<27>,IOB,IO_L01N_6/VRP_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T4,QUOTIENT<29>,IOB,IO_L06P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T5,DIVIDEND<30>,IOB,IO_L06N_5,INPUT,LVCMOS25*,5,,,,NONE,,UNLOCATED,NO,NONE,
T6,,,VCCO_5,,,5,,,,,2.50,,,,
T7,REMAINDER<3>,IOB,IO_L28P_5/D7,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T8,REMAINDER<9>,IOB,IO_L30P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T9,,,GND,,,,,,,,,,,,
T10,,,GND,,,,,,,,,,,,
T11,REMAINDER<23>,IOB,IO_L29P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
T12,DIVISOR<24>,IOB,IO_L27N_4/DIN/D0,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
T13,,,VCCO_4,,,4,,,,,2.50,,,,
T14,DIVISOR<28>,IOB,IO_L10N_4,INPUT,LVCMOS25*,4,,,,NONE,,UNLOCATED,NO,NONE,
T15,,,CCLK,,,,,,,,,,,,
T16,DIVISOR<11>,IOB,IO_L01P_3/VRN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T17,DIVISOR<12>,IOB,IO_L01N_3/VRP_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T18,DIVISOR<2>,IOB,IO_L16N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
U1,DIVIDEND<24>,IOB,IO_L16N_6,INPUT,LVCMOS25*,6,,,,NONE,,UNLOCATED,NO,NONE,
